geonameid;name;asciiname;altnames;lat;long;fclass;fcode;ccode;cc2;acode1;acode2;acode3;acode4;pop;elev;gtopo;tz;mdate
1501887;Krasnyy Yar;Krasnyy Yar;KRASNYJ JAR,Krasny Yar,Krasnyj Jar,Krasnyy Yar,КРАСНЫЙ ЯР,Красный Яр;55.24242;72.92635;P;PPL;RU;;54;;;;5322;;82;Asia/Omsk;17.01.2012
495969;Shalazhi;Shalazhi;Konev,Konjov,Konv,Makane-KIotar,Makane-Khotar,Podgornoe,Podgornoye,Salaa,Salai,Shalazha,Shalazhi,Sjalazji,alaa,alai,Конёв,Макане-КІотар,Подгорное,Шалажа,Шалажи;43.09476;45.35898;P;PPL;RU;;12;;;;5319;;364;Europe/Moscow;04.08.2012
582123;Andi;Andi;Andi,Анди;42.7836;46.26171;P;PPL;RU;;17;Botlikhskiy Rayon;;;5318;;1551;Europe/Moscow;17.01.2012
563601;Dzhubga;Dzhubga;Dshubga,Dzhubga,Dzhubq,Dzjubga,Джубга;44.3211;38.7073;P;PPL;RU;;38;;;;5314;;36;Europe/Moscow;17.01.2012
554554;Kadnikov;Kadnikov;KADNIKOV,Kadnikov,КАДНИКОВ,Кадников;59.50218;40.33803;P;PPL;RU;;85;;;;5312;;143;Europe/Moscow;17.01.2012
1511135;Azovo;Azovo;Azovo,Azovskoye,Азово;54.69972;73.02367;P;PPL;RU;;54;;;;5311;;108;Asia/Omsk;17.01.2012
866057;Molochnyy;Molochnyy;MOLOCHNYJ,Molochnyj,Molochnyy,Molotsjnyj,МОЛОЧНЫЙ,Молочный;68.85389;33.02046;P;PPL;RU;;49;;;;5308;;11;Europe/Moscow;20.01.2012
478297;Usogorsk;Usogorsk;USOGORSK,Usogorsk,Uzogorsk,УСОГОРСК;63.41064;48.68722;P;PPL;RU;;34;;;;5308;;123;Europe/Moscow;17.01.2012
1499042;Melioratorov;Melioratorov;Melioratorov,Мелиораторов;57.21065;65.60774;P;PPL;RU;;78;;;;5306;;58;Asia/Yekaterinburg;17.01.2012
500400;Russkiy Kameshkir;Russkiy Kameshkir;Kameshkir Russkiy,Russkij Kameshkir,Russkij Kamesjkir,Russkiy Kameshkir,Russkiy Kameskir,Русский Камешкир;52.85955;46.08861;P;PPL;RU;;57;;;;5305;;215;Europe/Moscow;17.01.2012
461705;Krasnolesnyy;Krasnolesnyy;KRASNOLESNYJ,Krasnolesny,Krasnolesnyj,Krasnolesnyy,Poselok Krasnolesnyy,Poslok Krasnolesnyy,КРАСНОЛЕСНЫЙ,Краснолесный;51.88072;39.58772;P;PPL;RU;;86;;;;5305;;154;Europe/Moscow;17.01.2012
563344;Falnki;Falenki;FALENKI,Falenki,Faljonki,Falnki,ФАЛЕНКИ,Фалёнки;58.36127;51.59461;P;PPL;RU;;33;;;;5303;;157;Europe/Volgograd;17.01.2012
556463;Imeni Vorovskogo;Imeni Vorovskogo;IM.VOROVSKOGO,Imeni Vorovskogo,Poselok Vorovskogo,Poslok Vorovskogo,imeni Vorovskogo,ИМ.ВОРОВСКОГО,Имени Воровского,имени Воровского;55.7319;38.32368;P;PPL;RU;;47;;;;5303;;137;Europe/Moscow;17.01.2012
1488465;Uporovo;Uporovo;Uporovo,Упорово;56.31093;66.26926;P;PPL;RU;;78;;;;5299;;66;Asia/Yekaterinburg;17.01.2012
489655;Spokoynaya;Spokoynaya;Spokoinaya,Spokojnaja,Spokoynaya,Спокойная;44.2468;41.4015;P;PPL;RU;;38;;;;5291;;565;Europe/Moscow;17.01.2012
1499158;Mayna;Mayna;MAJNA,Majna,Mayna,МАЙНА,Майна;53.00639;91.48361;P;PPL;RU;;31;;;;5287;;317;Asia/Krasnoyarsk;17.01.2012
533975;Lotoshino;Lotoshino;Latashino,Lotoshino,Lotosjino,Лотошино;56.23489;35.64273;P;PPL;RU;;47;;;;5286;;156;Europe/Moscow;28.02.2012
499778;Rzhanitsa;Rzhanitsa;RZHANICA,Rzhanica,Rzhanitsa,Rzjanitsa,РЖАНИЦА,Ржаница;53.42844;33.92297;P;PPL;RU;;10;;;;5281;;157;Europe/Moscow;17.01.2012
