geonameid;name;latitude;longitude;fclass;acode;population
493231;ШУЯ,Шуя;56.84865;41.38833;P;21;60705
495394;ЩЕКИНО,Щёкино;54.00513;37.52194;P;76;60700
572665;БОР,Бор;56.35808;44.07477;P;51;60647
564719;ДУБНА,Дубна;56.73333;37.16667;P;47;60604
547836;Кизлярский Район;44;47;A;17;60590
512023;ПАВЛОВСКИЙ ПОСАД,Павловский Посад;55.78071;38.65448;P;47;60051
532306;Магарамкентский Район;41.66667;48.33333;A;17;59763
493702;Михайловск,Шпаковское;45.12833;42.02556;P;70;59198
543704;КОТЛАС,Котлас;61.25745;46.64963;P;6;59180
1487281;Верхняя Пышма,Пышма;56.97047;60.58219;P;71;59061
1490256;ТАЛНАХ,Талнах;69.4865;88.3972;P;91;59051
527012;Михайловка;50.06;43.2379;P;84;58898
490996;СОЛНЕЧНОГОРСК,Солнечногорск;56.18333;36.98333;P;47;58891
2027468;АРСЕНЬЕВ,Арсеньев;44.1616;133.2767;P;59;58700
477494;УЗЛОВАЯ,Узловая;53.98179;38.17118;P;76;58458
472234;ВОЛЖСК,Волжск;55.86638;48.3594;P;45;58000
6695754;Когалым;62.26537;74.47906;P;32;57800
540251;Крымск;44.92934;37.99117;P;38;57555
2025527;ЧЕРЕМХОВО,Черемхово;53.15611;103.0675;P;20;57395
463082;Жигулевск;53.39972;49.49528;P;65;57094
501283;РОСЛАВЛЬ,Рославль;53.95278;32.86389;P;69;56971
572154;Боровичи;58.38778;33.91546;P;52;56571
548442;КИРИШИ,Кириши;59.44712;32.02049;P;42;56190
563379;Эжва;61.81281;50.72834;P;34;56000
534838;Лиски;50.98405;39.51545;P;86;55939
470676;Вязьма;55.21039;34.29508;P;69;55500
1497951;НАЗАРОВО,Назарово;56.0104;90.4011;P;91;55252
547560;Климовск;55.36352;37.52984;P;47;55206
6853140;Лесной;57.6198;63.0784;P;71;55100
1510205;БЕРЕЗОВСКИЙ,Берёзовский;55.6;86.2;P;29;55000
